ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1762276635.384814,C5ZjcT1miTA9rUFpo1,fe80::d6be:dcff:fe5d:faae,5353,ff02::fb,5353,udp,dns,0.000212,224,0,S0,T,F,0,D,2,320,0,0,-,17
1762276641.249695,Cfz1EX3lptqjVrMV1d,192.168.1.226,54931,192.168.1.1,53,udp,dns,0.022838,0,76,SHR,T,T,0,Cd,0,0,1,104,-,17
1762276641.249767,CMwObNkBAcDChaXcd,192.168.1.226,48752,192.168.1.1,53,udp,dns,0.020998,0,110,SHR,T,T,0,Cd,0,0,1,138,-,17
1762276643.054114,CXvNd027vnbFWt6ckg,192.168.1.226,57911,192.168.1.1,53,udp,dns,0.008983,0,163,SHR,T,T,0,Cd,0,0,1,191,-,17
1762276643.054047,CVlooC17nQolKnDeVb,192.168.1.226,51035,192.168.1.1,53,udp,dns,0.009312,0,206,SHR,T,T,0,Cd,0,0,1,234,-,17
1762276643.063204,Cq2Jli4IEaZaqdw8Ha,192.168.1.226,33360,192.168.1.1,53,udp,dns,0.009785,0,145,SHR,T,T,0,Cd,0,0,1,173,-,17
1762276664.068778,CKy2Vw28NOh0pPPcC7,192.168.1.226,58188,38.94.152.202,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276664.048498,CdMQGE1Q67g0jVXNRi,192.168.1.226,49647,192.168.1.1,53,udp,dns,0.015009,0,81,SHR,T,T,0,Cd,0,0,1,109,-,17
1762276664.048567,CexCYc4XEJQr0Sstne,192.168.1.226,35339,192.168.1.1,53,udp,dns,0.020806,0,147,SHR,T,T,0,Cd,0,0,1,175,-,17
1762276664.069467,CKpQkz1U79iUTLieQ7,192.168.1.226,37092,192.168.1.1,53,udp,dns,0.015797,0,130,SHR,T,T,0,Cd,0,0,1,158,-,17
1762276664.127511,C7t6BKfvQcBthGy99,192.168.1.226,58188,38.94.152.202,443,tcp,-,10.763492,0,7807,SHR,T,F,0,^hCadCf,0,0,20,8855,-,6
1762276624.068061,CPrb193RaKdVIiP3j,192.168.1.226,51622,142.250.114.95,443,udp,-,0.075726,0,8158,SHR,T,F,0,CdC,0,0,19,8690,-,17
1762276624.060663,CMrVrk4XwmoKpwm3k6,192.168.1.226,56776,142.251.116.101,443,udp,-,0.108391,0,6418,SHR,T,F,0,CdC,0,0,20,6978,-,17
1762276626.003855,Cxtj3n1NyqKUXBwbZ,192.168.1.25,138,192.168.1.255,138,udp,-,0.000038,449,0,S0,T,T,0,D,2,505,0,0,-,17
1762276626.003883,CkPAGg4bQ30JSHlK7c,192.168.1.70,138,192.168.1.255,138,udp,-,0.000046,449,0,S0,T,T,0,D,2,505,0,0,-,17
1762276614.048323,CctVyp3UbK0QXYbHX4,192.168.1.226,36477,142.250.113.94,443,udp,-,14.053343,0,4886,SHR,T,F,0,CdC,0,0,17,5362,-,17
1762276681.057275,C4mr4S2ocqpYQy8sS2,192.168.1.226,35551,192.168.1.1,53,udp,dns,0.010612,0,74,SHR,T,T,0,Cd,0,0,1,102,-,17
1762276681.057342,C3hR3g1Sb0FStws90b,192.168.1.226,53174,192.168.1.1,53,udp,dns,0.016492,0,108,SHR,T,T,0,Cd,0,0,1,136,-,17
1762276683.307675,CZefStJy8yczXvEQc,192.168.1.226,43474,192.168.1.1,53,udp,dns,0.013450,0,99,SHR,T,T,0,Cd,0,0,1,127,-,17
1762276683.307737,CMJSHu21acIYIxcXDl,192.168.1.226,59638,192.168.1.1,53,udp,dns,0.018954,0,140,SHR,T,T,0,Cd,0,0,1,168,-,17
1762276683.326785,C9dBFx2bAKBMsRgTL4,192.168.1.226,34676,192.168.1.1,53,udp,dns,0.018805,0,122,SHR,T,T,0,Cd,0,0,1,150,-,17
1762276635.835072,C1Fe7C4aR2IcDw2Afl,192.168.1.226,42124,239.255.255.250,1900,udp,-,-,-,-,OTH,T,T,0,C,0,0,0,0,-,17
1762276635.886319,Ctqtnz3LumvUVYRURg,192.168.1.197,1900,192.168.1.226,42124,udp,-,2.967156,1352,0,S0,T,T,0,D,4,1464,0,0,-,17
1762276636.447112,C91SY441OsmsHzC2d9,192.168.1.120,1900,192.168.1.226,42124,udp,-,2.684318,1120,0,S0,T,T,0,D,4,1232,0,0,-,17
1762276690.931653,CIDEFw1oWhQLt92K,192.168.1.226,33392,192.168.1.1,53,udp,dns,0.018482,0,186,SHR,T,T,0,Cd,0,0,1,214,-,17
1762276690.931734,CVyWJo1wvZeVjRrxD2,192.168.1.226,53152,192.168.1.1,53,udp,dns,0.018940,0,226,SHR,T,T,0,Cd,0,0,1,254,-,17
1762276690.950799,CqfjNH2bVqzGV5lb7l,192.168.1.226,56377,192.168.1.1,53,udp,dns,0.011570,0,142,SHR,T,T,0,Cd,0,0,1,170,-,17
1762276641.272983,Cn2Nl53rWaGr4qWkVc,192.168.1.226,52901,142.250.113.95,443,udp,-,0.061117,0,4245,SHR,T,F,0,Cd,0,0,12,4581,-,17
1762276692.092554,CAJ9991yHvgojYRDJb,192.168.1.226,57951,192.168.1.1,53,udp,dns,0.018001,0,135,SHR,T,T,0,Cd,0,0,1,163,-,17
1762276692.092628,CFUIYgy4GQXPvyju,192.168.1.226,57236,192.168.1.1,53,udp,dns,0.021317,0,272,SHR,T,T,0,Cd,0,0,1,300,-,17
